name,url,category,summary,ingredients,directions,total,servings_n,yield,calories,fat_100g,satfat_100g,sugars_100g,salt_100g,fat_fsa,satfat_fsa,sugars_fsa,salt_fsa,fat_score,satfat_score,sugars_score,salt_score,fsa_score,fsa_health_label,rating,dish_type_scraped,cuisine_scraped,total_minutes,ingredient_count,dish_type_llm,cuisine_llm,image_path,dish_type_normalised
Broccoli Chicken Divan,https://www.allrecipes.com/recipe/8854/broccoli-chicken-divan/,main-dish,A quick and easy chicken and broccoli dish that all will love!,"1 pound chopped fresh broccoli ; 1 ½ cups cubed, cooked chicken meat ; 1 (10.75 ounce) can  condensed cream of broccoli soup ; ⅓ cup milk ; ½ cup shredded Cheddar cheese ; 1 tablespoon butter, melted ; 2 tablespoons dried bread crumbs","Preheat oven to 450 degrees F (230 degrees C). Place the broccoli in a saucepan with enough water to cover. Bring to a boil, and cook 5 minutes, or until tender. Drain. Place the cooked broccoli in a 9 inch pie plate. Top with the chicken. In a bowl, mix the soup and milk, and pour over the chicken. Sprinkle with Cheddar cheese. Mix the melted butter with the bread crumbs, and sprinkle over the cheese. Bake in the preheated oven for 15 minutes, or until bubbly and lightly brown.",40 mins,6.0,6 servings,186.4,6.089097828520259,3.0087306917394225,2.364002686366689,0.7883590776807701,amber,amber,green,amber,2.0,2.0,1.0,2.0,7.0,healthy,4.32,Side Dish,American,40.0,7,Casserole and Pies,American,recipe_images/recipe_56.jpg,Casserole and Pies
Parmesan-Crusted Pork Chops,https://www.allrecipes.com/recipe/247066/parmesan-crusted-pork-chops/,main-dish,Pork chops with a delicious Parmesan cheese crust.,"1  serving cooking spray ; 1  egg ; ¼ cup grated Parmesan cheese ; 1 teaspoon Cajun seasoning ; 2  boneless pork chops, trimmed","Preheat oven to 350 degrees F (175 degrees C). Spray a baking dish with cooking spray. Whisk egg in a shallow bowl. Mix Parmesan cheese and Cajun seasoning together on a plate. Dip each pork chop into egg. Press into Parmesan mixture until coated on both sides. Place in the prepared baking dish. Bake in the preheated oven until golden and an instant-read thermometer inserted into the center reads at least 145 degrees F (63 degrees C), 35 to 40 minutes.",45 mins,2.0,2 servings,245.9,6.016847172081829,2.406738868832732,0.1444043321299639,0.551985559566787,amber,amber,green,amber,2.0,2.0,1.0,2.0,7.0,healthy,4.62,Pork,American,45.0,5,Pork,American,recipe_images/recipe_68.jpg,Meat Dishes
Marinated Baked Pork Chops,https://www.allrecipes.com/recipe/44742/marinated-baked-pork-chops/,main-dish,"My family loves this recipe. It is quick and easy, and makes for a tasty weekday supper. I often double the sauce to serve over rice.","1 tablespoon soy sauce ; 2 tablespoons vegetable oil ; 1 tablespoon Worcestershire sauce ; 1 teaspoon lemon juice ; 2 tablespoons brown sugar ; 2 tablespoons ketchup ; 6  pork chops, trimmed","Preheat oven to 350 degrees F (175 degrees C). In a small bowl, thoroughly blend soy sauce, vegetable oil, Worcestershire sauce, lemon juice, brown sugar, and ketchup. Place pork chops in a medium baking dish, and spread with 1/2 the sauce. Bake pork chops 30 minutes in the preheated oven. Turn, and spread with remaining sauce. Continue baking 30 minutes, or until internal temperature of the chops has reached 145 degrees F (63 degrees C).",1 hr 15 mins,6.0,6 servings,165.7,5.148205928237131,1.3455538221528862,3.451638065522621,0.3741224648985961,amber,green,green,amber,2.0,1.0,1.0,2.0,6.0,healthy,4.29,Pork,American,75.0,7,Pork,American,recipe_images/recipe_77.jpg,Meat Dishes
Easy Baked Falafel with Cucumber-Yogurt Sauce,https://www.allrecipes.com/recipe/270463/easy-baked-falafel-with-cucumber-yogurt-sauce/,main-dish,"Try this Middle Eastern sandwich of chickpea and spice 'meatballs,' which are actually falafel that are oven-fried to keep their calorie count down. Serve with grilled pita wedges or pita pockets, diced tomatoes, shredded lettuce, and cucumber slices.","cooking spray ; 2 tablespoons olive oil, divided ; 1 (15 ounce) can chickpeas, drained and rinsed ; ¾  onion, diced ; ¼ cup packed chopped fresh cilantro ; ¼ cup packed chopped fresh parsley ; 3 cloves garlic, smashed ; 1  small lemon, zested ; ½ teaspoon ground cumin ; ½ teaspoon kosher salt ; ½ teaspoon red pepper flakes ; ½ teaspoon baking powder ; ⅓ cup all-purpose flour ; 1  egg, beaten ; ½ cup plain Greek yogurt ; ¼ cup seeded and minced cucumber, squeezed dry ; 2 teaspoons fresh lemon juice ; 1 teaspoon minced garlic ;   salt to taste ; 1 pinch cayenne pepper, or to taste","Coat a 9x13-inch metal baking pan with cooking spray and 1 tablespoon olive oil and place inside the oven. Preheat the oven to 375 degrees F (190 degrees C). C Combine chickpeas, onion, cilantro, parsley, garlic, lemon zest, cumin, salt, red pepper flakes, and baking powder in a food processor. Pulse until minced but not yet pasty. Transfer to a bowl and stir in flour and egg until fully incorporated. Remove baking pan from the oven. Drop golfball-sized portions of chickpea mixture onto the hot pan. Bake in the preheated oven 15 to 20 minutes. Brush falafel with remaining olive oil and flip over. Continue baking until golden on both sides, 15 to 20 minutes more. Meanwhile, combine yogurt, cucumber, lemon juice, and garlic in a bowl. Season with salt and cayenne pepper. Store in the refrigerator until ready to serve. Serve falafel with yogurt sauce.",1 hr,4.0,4 servings,249.8,5.191385309884323,1.218846985798928,1.0834195429323803,0.6620144832126399,amber,green,green,amber,2.0,1.0,1.0,2.0,6.0,healthy,4.82,Sandwich Recipes,Middle Eastern Inspired Middle Eastern,60.0,20,Sandwich,Mediterranean,recipe_images/recipe_80.jpg,Sandwiches and Tacos
Instant Pot Pot Roast,https://www.allrecipes.com/recipe/268516/instant-pot-pot-roast/,main-dish,"A tasty family favorite cooked in the Instant Pot, combining beef chuck, red potatoes, carrots, and herbs.","1 teaspoon salt ; 1 teaspoon dried marjoram ; 1 teaspoon dried rosemary ; 1 teaspoon garlic powder  (Optional); 1 teaspoon onion powder ; ½ teaspoon ground black pepper ; ½ teaspoon paprika  (Optional); 1 tablespoon vegetable oil ; 1 (3 pound) beef chuck roast, or more to taste ; 1 pound baby red potatoes ; 4 large carrots, chopped into large chunks ; 1 large yellow onion, sliced ; 4 cups beef broth ; 2 tablespoons Worcestershire sauce","Turn on a multi-functional pressure cooker (such as Instant Pot) and select Saute function. Combine salt, marjoram, rosemary, garlic powder, onion powder, black pepper, and paprika in a small bowl. Rub mixture all over roast to coat all sides. Drizzle oil into the preheated pot. Wait 30 seconds, then place roast into the pot; do not move the meat, allowing it to sear for 3 or 4 minutes. Turn the roast and sear again, 3 to 4 minutes. Repeat until all sides are browned, about 15 minutes total. Add potatoes, carrots, and onion to the pot. Pour in broth and Worcestershire sauce. Close and lock the lid; set vent to sealing. Select high pressure according to manufacturer's instructions; set timer for 60 minutes for a 3-pound roast or 80 minutes for a 5-pound roast. Allow 10 to 15 minutes for pressure to build. Release pressure using the natural-release method according to manufacturer's instructions for 10 minutes. Release remaining pressure carefully using the quick-release method according to manufacturer's instructions, about 5 minutes. Unlock and remove the lid. Transfer roast, potatoes, carrots, and onions to a platter for serving.",2 hrs 5 mins,12.0,12 servings,232.9,5.34166488158369,2.0313373493346427,0.9404339580252976,0.5040726015015595,amber,amber,green,amber,2.0,2.0,1.0,2.0,7.0,healthy,4.5,Beef,American,125.0,14,Beef,American,recipe_images/recipe_107.jpg,Meat Dishes
Easy Air Fryer Pork Chops,https://www.allrecipes.com/recipe/275576/easy-air-fryer-pork-chops/,main-dish,Boneless pork chops cooked to perfection in the air fryer. This recipe is super simple and you couldn't ask for a more tender and juicy chop.,½ cup grated Parmesan cheese ; 1 teaspoon paprika ; 1 teaspoon garlic powder ; 1 teaspoon kosher salt ; 1 teaspoon dried parsley ; ½ teaspoon ground black pepper ; 4 (5 ounce) center-cut pork chops ; 2 tablespoons extra virgin olive oil,"Preheat the air fryer to 380 degrees F (190 degrees C). Combine Parmesan cheese, paprika, garlic powder, salt, parsley, and pepper in a flat shallow dish; mix well. Coat each pork chop with olive oil. Dredge both sides of each chop in the Parmesan mixture and set on a plate. Place 2 chops in the basket of the air fryer and cook for 10 minutes; flipping halfway through cook time. Transfer to a cutting board and let rest for 5 minutes. Repeat with remaining chops.",35 mins,4.0,4 servings,304.7,9.951789773436914,2.9975270401918417,0.1798516224115104,1.026503134913696,amber,amber,green,amber,2.0,2.0,1.0,2.0,7.0,healthy,4.72,Everyday Cooking,American,35.0,8,Pork,American,recipe_images/recipe_109.jpg,Meat Dishes
Baked Asparagus and Mushroom Pasta,https://www.allrecipes.com/recipe/280724/baked-asparagus-and-mushroom-pasta/,main-dish,"Take classic Mediterranean flavors and make American-style comfort food for your family! If you are looking for a meatless meal, serve this with a salad and crusty bread. If your family prefers a protein, a rotisserie chicken or a slice of ham would be an easy and tasty addition to the lovely flavors of this casserole.","½ (16 ounce) package gemelli pasta ; 2 tablespoons herb-infused extra-virgin olive oil ; ½ medium onion, chopped ; 1 pound fresh asparagus, cut into 1-inch pieces ; 1 (8 ounce) package sliced mushrooms ; 2 cups cherry tomatoes, halved ; 2 cloves garlic, minced ; ¼ teaspoon crushed red pepper flakes ; 1 pinch salt and ground black pepper to taste ; 2 tablespoons unsalted butter ; 2 tablespoons all-purpose flour ; 2 cups 1% milk ; ⅔ cup grated Parmigiano-Reggiano cheese, divided ; ¼ cup shredded provolone cheese ; ⅓ cup Italian-seasoned bread crumbs","Preheat the oven to 350 degrees F (175 degrees C). Grease a 7x11-inch baking dish. Bring a large pot of lightly salted water to a boil; cook gemelli at a boil until flexible but still firm to the bite, about 6 minutes. Meanwhile, heat oil in a large skillet over medium heat until shimmering. Add onion and stir for 2 minutes. Add asparagus and mushrooms and continue to cook, stirring occasionally, until mushrooms begin to soften and asparagus is bright green, about 4 minutes. Add tomatoes, garlic, red pepper flakes, salt, and pepper. Continue cooking for about 4 minutes, stirring occasionally. Pour the vegetable mixture into a large mixing bowl. Drain pasta and stir into the bowl. Melt butter in the same skillet. Add flour and cook, stirring constantly, until the mixture bubbles, about 4 minutes. Pour in milk, stirring briskly to avoid lumps. Continue to stir until sauce thickens and bubbles again, about 4 minutes. Remove from heat and stir in 1/3 cup Parmigiano-Reggiano and provolone cheese until melted. Pour the cheese sauce over the pasta and vegetables and stir to combine. Pour into the prepared baking dish. Taste and adjust seasonings. Toss remaining Parmigiano-Reggiano with bread crumbs and sprinkle over the casserole. Bake in the preheated oven until bubbly and lightly browned, 20 to 25 minutes.",1 hr,6.0,1 7x11-inch casserole,356.4,3.903250262906895,1.5847783022328743,1.173909853505833,0.2281787277751962,amber,amber,green,green,2.0,2.0,1.0,1.0,6.0,healthy,5.0,Pasta,American,60.0,15,Pasta and Noodles,Italian,recipe_images/recipe_111.jpg,Pasta
Balsamic-Glazed Salmon Fillets,https://www.allrecipes.com/recipe/82817/balsamic-glazed-salmon-fillets/,main-dish,"A glaze featuring balsamic vinegar, garlic, honey, white wine and Dijon mustard makes baked salmon fillets extraordinary.","6 (5 ounce) salmon fillets ; 4 cloves garlic, minced ; 1 tablespoon white wine ; 1 tablespoon honey ; ⅓ cup balsamic vinegar ; 4 teaspoons Dijon mustard ;   salt and pepper to taste ; 1 tablespoon chopped fresh oregano","Preheat oven to 400 degrees F (200 degrees C). Line a baking sheet with aluminum foil, and spray with non-stick cooking spray. Coat a small saucepan with non-stick cooking spray. Over medium heat, cook and stir garlic until soft, about 3 minutes. Mix in white wine, honey, balsamic vinegar, mustard, and salt and pepper. Simmer, uncovered, for about 3 minutes, or until slightly thickened. Arrange salmon fillets on foil-lined baking sheet. Brush fillets with balsamic glaze, and sprinkle with oregano. Bake in preheated oven for 10 to 14 minutes, or until flesh flakes easily with a fork. Brush fillets with remaining glaze, and season with salt and pepper. Use a spatula to transfer fillets to serving platter, leaving the skin behind on the foil.",30 mins,6.0,6 servings,288.4,8.21917808219178,1.643835616438356,2.598320813079982,0.2269553689792311,amber,amber,green,green,2.0,2.0,1.0,1.0,6.0,healthy,4.29,Seafood Main Dishes,American,30.0,8,Seafood,Mediterranean,recipe_images/recipe_114.jpg,Seafood
Quinoa Black Bean Burgers,https://www.allrecipes.com/recipe/220661/quinoa-black-bean-burgers/,main-dish,"These vegetarian burgers are delicious! Your carnivorous friends will be impressed. My favorite way to serve is on a whole-wheat bun with garlic-lemon mayonnaise, fresh raw spinach, sliced tomato, and caramelized onions!","1 (15 ounce) can black beans, rinsed and drained ; ¼ cup quinoa ; ½ cup water ; ½ cup bread crumbs ; ¼ cup minced yellow bell pepper ; 2 tablespoons minced onion ; 1 large clove garlic, minced ; 1 ½ teaspoons ground cumin ; ½ teaspoon salt ; 1 teaspoon hot pepper sauce (such as Frank's RedHot) ; 1  egg ; 3 tablespoons olive oil","Bring the quinoa and water to a boil in a saucepan. Reduce heat to medium-low, cover, and simmer until the quinoa is tender and the water has been absorbed, about 15 to 20 minutes. Roughly mash the black beans with a fork leaving some whole black beans in a paste-like mixture. Mix the quinoa, bread crumbs, bell pepper, onion, garlic, cumin, salt, hot pepper sauce, and egg into the black beans using your hands. Form the black bean mixture into 5 patties. Heat the olive oil in a large skillet. Cook the patties in the hot oil until heated through, 2 to 3 minutes per side.",35 mins,5.0,5 burgers,244.8,8.717105263157896,1.3980263157894737,0.9046052631578948,1.396998355263158,amber,green,green,amber,2.0,1.0,1.0,2.0,6.0,healthy,4.7,Burger Recipes,American,35.0,12,Burger,American,recipe_images/recipe_115.jpg,Burger
Grandma's Polish Perogies,https://www.allrecipes.com/recipe/84706/grandmas-polish-perogies/,main-dish,"My grandfather is Polish, and his mother taught my grandmother how to make these delicious perogies. The recipe has been in the family for generations, with a few alterations of course! Serve plain, or with butter, sour cream, bacon, etc. Perfecting the perogie technique takes time, and after a while, you will develop your own system.","4 ½ cups all-purpose flour ; 2 teaspoons salt ; 2 tablespoons butter, melted ; 2 cups sour cream ; 2  eggs ; 1  egg yolk ; 2 tablespoons vegetable oil ; 8  baking potatoes, peeled and cubed ; 1 cup shredded Cheddar cheese ; 2 tablespoons processed cheese sauce ; 1 dash onion salt to taste ;   salt and pepper to taste","In a large bowl, stir together the flour and salt. In a separate bowl, whisk together the butter, sour cream, eggs, egg yolk and oil. Stir the wet ingredients into the flour until well blended. Cover the bowl with a towel, and let stand for 15 to 20 minutes. Place potatoes into a pot, and fill with enough water to cover. Bring to a boil, and cook until tender, about 15 minutes. Drain, and mash with shredded cheese and cheese sauce while still hot. Season with onion salt, salt and pepper.  Set aside to cool. Separate the perogie dough into two balls. Roll out one piece at a time on a lightly floured surface until it is thin enough to work with, but not too thin so that it tears. Cut into circles using a cookie cutter, perogie cutter, or a glass. Brush a little water around the edges of the circles, and spoon some filling into the center. Fold the circles over into half-circles, and press to seal the edges. Place perogies on a cookie sheet, and freeze. Once frozen, transfer to freezer storage bags or containers. To cook perogies: Bring a large pot of lightly salted water to a boil. Drop perogies in one at a time. They are done when they float to the top. Do not boil too long, or they will be soggy! Remove with a slotted spoon.",2 hrs,20.0,60 perogies,281.3,8.934372969460687,4.792072774528915,0.8122157244964262,0.7117040285899935,amber,amber,green,amber,2.0,2.0,1.0,2.0,7.0,healthy,4.68,Dumpling Recipes,U.S. Polish,120.0,12,Dumplings,Polish,recipe_images/recipe_124.jpg,Dumplings
