participant_id,phase_duration_seconds,total_duration_seconds,perceived_healthiness,attention_check_2,affect_trust_1,affect_trust_2,integrity_trust_1,integrity_trust_2,integrity_trust_3,benevolence_trust_1,benevolence_trust_2,benevolence_trust_3,competence_trust_1,competence_trust_2,competence_trust_3,behavioral_intention_1,behavioral_intention_2,behavioral_intention_3,continuance_intention_1,continuance_intention_2,continuance_intention_3,familiarity_1,familiarity_2,trust_disposition_1,trust_disposition_2,trust_disposition_3,health_consciousness_1,health_consciousness_2,health_consciousness_3,demographics
P024,342,593,4,1,4,5,5,5,6,5,4,5,3,3,4,5,5,3,4,4,4,6,6,4,3,5,3,3,3,"{'age': '35–44', 'gender': 'Male', 'ethnicity': 'Caucasian', 'cook_frequency': 'Once a week'}"
P026,171,339,5,1,5,5,6,6,6,6,6,6,6,6,6,6,6,3,6,6,6,6,5,6,5,6,6,7,6,"{'age': '18–24', 'gender': 'Male', 'ethnicity': 'Asian', 'cook_frequency': 'Several times a week'}"
P040,444,890,5,1,5,6,6,6,6,6,6,6,6,6,6,5,4,2,6,6,5,6,5,6,6,6,6,5,6,"{'age': '25–34', 'gender': 'Female', 'ethnicity': 'Asian', 'cook_frequency': 'Daily'}"
P045,275,477,2,1,5,4,5,4,3,3,3,5,3,3,4,1,2,5,3,2,2,5,6,3,5,5,5,3,4,"{'age': '18–24', 'gender': 'Male', 'ethnicity': 'Caucasian', 'cook_frequency': 'Several times a week'}"
P048,913,1500,4,1,6,4,5,6,5,3,4,2,3,3,3,4,4,6,1,3,2,7,7,6,6,3,6,7,7,"{'age': '25–34', 'gender': 'Male', 'ethnicity': 'Middle Eastern', 'cook_frequency': 'Daily'}"
P051,526,954,2,1,4,4,5,6,5,5,3,4,7,7,7,7,7,1,7,4,6,6,5,2,4,6,2,1,1,"{'age': '18–24', 'gender': 'Male', 'ethnicity': 'Caucasian', 'cook_frequency': 'Daily'}"
P052,353,646,1,1,3,4,4,5,5,4,2,6,2,2,1,2,1,7,1,1,1,7,7,5,6,5,6,2,6,"{'age': '45–54', 'gender': 'Male', 'ethnicity': 'Caucasian', 'cook_frequency': 'Daily'}"
P053,206,412,3,1,5,5,5,6,6,3,5,5,3,3,4,2,2,7,1,1,3,5,5,6,7,5,6,5,4,"{'age': '18–24', 'gender': 'Male', 'ethnicity': 'Caucasian', 'cook_frequency': 'Daily'}"
P057,267,405,2,1,5,4,5,4,4,4,4,5,3,4,4,3,3,5,3,4,4,6,7,5,5,4,5,6,6,"{'age': '18–24', 'gender': 'Female', 'ethnicity': 'Other', 'cook_frequency': 'Several times a week'}"
P059,148,274,6,1,5,5,5,5,5,6,6,6,6,6,6,6,6,2,5,5,4,7,7,6,6,6,6,6,6,"{'age': '25–34', 'gender': 'Female', 'ethnicity': 'Caucasian', 'cook_frequency': 'Daily'}"
P020,248,533,3,1,4,4,4,4,5,5,5,6,3,3,3,2,2,6,2,2,2,5,6,3,3,5,5,5,4,"{'age': '18–24', 'gender': 'Female', 'ethnicity': 'Mixed', 'cook_frequency': 'Daily'}"
P060,136,245,5,1,5,5,5,5,5,4,4,5,5,5,5,6,5,1,5,5,5,4,3,5,5,2,6,6,6,"{'age': '35–44', 'gender': 'Female', 'ethnicity': 'Caucasian', 'cook_frequency': 'Several times a week'}"
P032,474,1159,5,1,5,5,5,5,5,5,5,6,6,6,6,5,5,2,5,5,5,5,6,5,5,5,5,6,6,"{'age': '35–44', 'gender': 'Male', 'ethnicity': 'Asian', 'cook_frequency': 'Once a week'}"
P039,250,512,2,1,4,5,5,5,5,4,5,5,4,5,5,3,2,5,5,6,4,5,4,5,5,5,4,6,3,"{'age': '18–24', 'gender': 'Male', 'ethnicity': 'Caucasian', 'cook_frequency': 'Daily'}"
P044,265,474,2,1,3,4,2,2,2,2,4,2,2,2,2,1,1,7,1,1,1,6,6,6,7,5,5,7,6,"{'age': '25–34', 'gender': 'Male', 'ethnicity': 'Asian', 'cook_frequency': 'Several times a week'}"
P049,149,277,4,1,4,5,5,5,4,4,5,4,5,5,5,5,4,4,4,4,4,3,3,3,4,4,4,4,4,"{'age': '25–34', 'gender': 'Male', 'ethnicity': 'Caucasian', 'cook_frequency': 'A few times a month'}"
P010,511,1081,6,1,4,3,4,5,4,4,4,4,3,3,3,4,3,3,3,2,2,6,6,6,5,5,4,7,7,"{'age': '35–44', 'gender': 'Female', 'ethnicity': 'Caucasian', 'cook_frequency': 'Daily'}"
P013,467,746,6,1,5,6,5,6,6,5,5,6,6,7,7,7,7,1,7,7,7,4,3,5,6,7,7,7,7,"{'age': '25–34', 'gender': 'Female', 'ethnicity': 'African', 'cook_frequency': 'Several times a week'}"
P050,460,906,6,1,6,7,7,7,7,7,5,7,5,6,6,7,6,4,7,7,6,6,6,6,5,6,6,5,5,"{'age': '45–54', 'gender': 'Female', 'ethnicity': 'African', 'cook_frequency': 'Several times a week'}"
